%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
224.0, 33822.145619648174, 10760.8897400963, 5496.204554582186, 21658.080417881065, 9407.513965071914, -11521.47490042149, 31271.319838919622, 30459.50448030287, -58430.05280852948, -30029.680434427315, -135661.99072146305, -54643.48848384482, -526.9647272783193, 2285.5329257885132, -71942.44229107408, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654593045E9, 0.0, 2026-01-23 18:20:54.593
226.0, 33635.352091235174, 10609.210802222588, 5354.9638813691, 21581.27982393263, 9350.18174054405, -11566.871293410219, 31326.72981342433, 30551.593667458736, -58651.08920944801, -30163.612087203514, -135771.4919175496, -54719.14913882603, -554.6808904029001, 2118.4089324961824, -72113.85781930183, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654593139E9, 0.0, 2026-01-23 18:20:54.593
0.0, 16945.438616924122, 5415.000666976055, 2737.708716119375, 10930.003038645154, 4792.504583895753, -5787.38072960147, 15869.984432457022, 15344.293754612656, -29244.284837756735, -15029.35767523738, -67842.6629713372, -27329.79086992632, -266.56690437399203, 1121.9905164230486, -35998.020887138955, -93750.01117587223, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654741267E9, 0.0, 2026-01-23 18:20:54.741
2.0, 33809.53923577538, 10756.106466782865, 5407.892812239267, 21835.08388222264, 9570.949920529118, -11579.991767405483, 31766.00864720448, 30720.259931118482, -59167.906244743615, -30377.63004036308, -137044.66963346835, -55255.27808133103, -549.0706025446179, 2194.6730845776897, -72020.02519607845, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654746225E9, 0.0, 2026-01-23 18:20:54.746
4.0, 33879.65665813168, 10805.682635984736, 5456.552559918471, 21875.071153053184, 9604.90222035673, -11547.71584841202, 31748.32841734033, 30676.942250364096, -59013.8803737021, -30278.0977223036, -136962.01288247263, -55196.8282695804, -527.4788174007914, 2278.3133123294488, -71937.43550031609, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654752199E9, 0.0, 2026-01-23 18:20:54.752
6.0, 33848.02893972742, 10792.204534078186, 5440.056972510454, 21843.644600349024, 9573.453315908113, -11582.3834040622, 31755.548030799393, 30708.569968768355, -59037.327353635716, -30302.215254570874, -136983.96229552774, -55212.47449069912, -533.8490645705539, 2284.1024141433736, -71928.27128508942, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7691636547582E9, 0.0, 2026-01-23 18:20:54.758
8.0, 33821.22919812551, 10759.928615084722, 5414.0395419644765, 21853.680533609455, 9589.725385871576, -11559.361107273235, 31764.689894281615, 30703.138494865718, -59155.65748878211, -30364.755435556825, -137034.1419618299, -55247.052639371475, -546.3660414655259, 2178.535125080958, -72047.96487664759, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654764257E9, 0.0, 2026-01-23 18:20:54.764
10.0, 33903.528321209946, 10834.918717732276, 5480.401871252283, 21870.645507651032, 9595.738005130053, -11562.467999752522, 31740.974693414533, 30677.523395719934, -58941.192500733436, -30239.183335206908, -136931.74862048015, -55175.21413269212, -520.5944801085568, 2358.2207987571715, -71855.02461850937, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654769282E9, 0.0, 2026-01-23 18:20:54.769
12.0, 33806.05236364035, 10753.625423148325, 5404.651809293247, 21833.809832788687, 9569.720574584077, -11580.95289241706, 31770.14371992871, 30722.338643352825, -59171.70604130102, -30380.133435742075, -137047.88828466993, -55256.75329646508, -549.8305618560985, 2178.1104419363073, -72044.500356257, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654775236E9, 0.0, 2026-01-23 18:20:54.775
14.0, 33877.89087031971, 10804.877973184344, 5455.07734478442, 21873.70769664141, 9603.963447089607, -11548.118179812214, 31751.390606330708, 30678.439817242604, -59016.16025163654, -30279.774103137745, -136964.9856644852, -55198.23642948108, -528.5517011346461, 2297.178184649728, -71926.72901472199, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654798285E9, 0.0, 2026-01-23 18:20:54.798
